routeStart,routeEnd,maxTraffic
KAFW,KMGM,0
KAFW,KMHT,0
KAFW,KMIA,0
KAFW,KMKE,0
KAFW,KMLI,0
KAFW,KMSN,0
KAFW,KMSP,2
KAFW,KMSY,0
KAFW,KOAK,5
KAFW,KOKC,0
KAFW,KOMA,0
KAFW,KONT,1
KAFW,KORD,4
KAFW,KORF,0
KAFW,KPDX,0
KAFW,KPHF,0
KAFW,KPHL,0
KAFW,KPHX,8
KAFW,KPIA,0
KAFW,KPIT,0
KAFW,KPVD,0
KAFW,KRDU,0
KAFW,KRFD,0
KAFW,KRIC,0
KAFW,KRNO,0
KAFW,KROA,0
KAFW,KROC,0
KAFW,KRST,0
KAFW,KRSW,0
KAFW,KSAN,1
KAFW,KSAT,5
KAFW,KSAV,0
KAFW,KSBN,0
KAFW,KSDF,0
KAFW,KSEA,8
KAFW,KSFB,0
KAFW,KSFO,7
KAFW,KSGF,0
KAFW,KSJC,1
KAFW,KSLC,4
KAFW,KSMF,7
KAFW,KSNA,0
KAFW,KSPI,0
KAFW,KSRQ,0
KAFW,KSTL,0
KAFW,KSUS,0
KAFW,KSUX,0
KAFW,KSYR,0
KAFW,KTLH,0
KAFW,KTOL,0
KAFW,KTPA,1
KAFW,KTUL,9
KAFW,KTUS,0
KAFW,KTYS,0
KAFW,KVPS,0
KAFW,PANC,3
KATL,KABQ,14
KATL,KADW,0
KATL,KAFW,8
KATL,KATL,79
KATL,KAUS,29
KATL,KAVL,2
KATL,KBDL,3
KATL,KBFI,5
KATL,KBHM,4
KATL,KBLV,0
KATL,KBMI,7
KATL,KBNA,92
KATL,KBOI,0
KATL,KBOS,107
KATL,KBUF,30
KATL,KBWI,124
KATL,KCAE,50
KATL,KCHA,0
KATL,KCID,0
KATL,KCLE,39
KATL,KCLT,75
KATL,KCMH,73
KATL,KCOS,6
KATL,KCRP,0
KATL,KCVG,47
KATL,KDAB,36
KATL,KDAL,77
KATL,KDAY,28
KATL,KDBQ,0
KATL,KDCA,127
KATL,KDEN,81
KATL,KDFW,132
KATL,KDSM,0
KATL,KDTW,95
KATL,KERI,0
KATL,KEWR,129
KATL,KFLL,171
KATL,KFSM,0
KATL,KFTW,0
KATL,KFWA,10
KATL,KGEG,0
KATL,KGRB,7
KATL,KGSO,6
KATL,KGSP,8
KATL,KGUS,0
KATL,KHOU,81
KATL,KHSV,33
KATL,KHTS,0
KATL,KIAD,86
KATL,KIAH,107
KATL,KIND,31
KATL,KJAX,0
KATL,KJFK,70
KATL,KLAS,83
KATL,KLAX,110
KATL,KLCK,0
KATL,KLEX,0
KATL,KLIT,0
KATL,KMBS,0
KATL,KMCI,74
KATL,KMCO,68
KATL,KMDW,75
KATL,KMEM,0
KATL,KMGE,0
KATL,KMGM,0
KATL,KMHT,2
KATL,KMIA,131
KATL,KMKE,37
KATL,KMLI,6
KATL,KMSN,20
KATL,KMSP,70
KATL,KMSY,0
KATL,KOAK,9
KATL,KOKC,16
KATL,KOMA,32
KATL,KONT,6
KATL,KORD,141
KATL,KORF,61
KATL,KPDX,21
KATL,KPHF,20
KATL,KPHL,120
